case_id,category,v1_reference,competence_date,consultant_profile,operation_amount,received_amount,tps_percent,prior_month_production,receipt_status,reversal_amount,leader_profile,expected_consultant_commission,expected_leadership_commission,expected_finalization_commission,expected_bko_commission,expected_total_commission,expected_proposal_status,notes
STD-001,STANDARD,SYNTH-STD-001,2026-08-01,CONSULTOR,10000.00,2499.00,24.99,0.00,CONFIRMED,0.00,NONE,149.94,0.00,0.00,0.00,149.94,PAID,Limite imediatamente abaixo de 25 por cento
STD-002,STANDARD,SYNTH-STD-002,2026-08-01,CONSULTOR,10000.00,2500.00,25.00,0.00,CONFIRMED,0.00,NONE,200.00,0.00,0.00,0.00,200.00,PAID,Limite exato de 25 por cento
STD-003,STANDARD,SYNTH-STD-003,2026-08-01,CONSULTOR,10000.00,2999.00,29.99,0.00,CONFIRMED,0.00,NONE,239.92,0.00,0.00,0.00,239.92,PAID,Limite imediatamente abaixo de 30 por cento
STD-004,STANDARD,SYNTH-STD-004,2026-08-01,CONSULTOR,10000.00,3000.00,30.00,0.00,CONFIRMED,0.00,NONE,300.00,0.00,0.00,0.00,300.00,PAID,Limite exato de 30 por cento
STD-005,STANDARD,SYNTH-STD-005,2026-08-01,CONSULTOR,10000.00,3499.00,34.99,0.00,CONFIRMED,0.00,NONE,349.90,0.00,0.00,0.00,349.90,PAID,Limite imediatamente abaixo de 35 por cento
STD-006,STANDARD,SYNTH-STD-006,2026-08-01,CONSULTOR,10000.00,3500.00,35.00,0.00,CONFIRMED,0.00,NONE,420.00,0.00,0.00,0.00,420.00,PAID,Limite exato de 35 por cento
STD-007,STANDARD,SYNTH-STD-007,2026-08-01,CONSULTOR,10000.00,4000.00,40.00,0.00,CONFIRMED,0.00,NONE,480.00,0.00,0.00,0.00,480.00,PAID,TPS acima da ultima faixa
STD-008,STANDARD,SYNTH-STD-008,2026-08-02,CONSULTOR,10000.00,1250.00,25.00,0.00,CONFIRMED,0.00,NONE,100.00,0.00,0.00,0.00,100.00,PARTIALLY_PAID,Pagamento de cinquenta por cento da comissao da empresa
STD-009,STANDARD,SYNTH-STD-009,2026-08-02,CONSULTOR,10000.00,1500.00,30.00,0.00,CONFIRMED,0.00,NONE,150.00,0.00,0.00,0.00,150.00,PARTIALLY_PAID,Pagamento parcial na faixa de dez por cento
STD-010,STANDARD,SYNTH-STD-010,2026-08-02,CONSULTOR,10000.00,1750.00,35.00,0.00,CONFIRMED,0.00,NONE,210.00,0.00,0.00,0.00,210.00,PARTIALLY_PAID,Pagamento parcial na faixa de doze por cento
STD-011,STANDARD,SYNTH-STD-011,2026-08-02,CONSULTOR,10000.00,1000.00,24.99,0.00,CONFIRMED,0.00,NONE,60.00,0.00,0.00,0.00,60.00,PARTIALLY_PAID,Pagamento parcial abaixo de 25 por cento
STD-012,STANDARD,SYNTH-STD-012,2026-08-03,CONSULTOR,10000.00,3600.00,35.00,0.00,CONFIRMED,100.00,NONE,420.00,0.00,0.00,0.00,420.00,PAID,Excedente estornado sem reduzir o direito integral
STD-013,LIFECYCLE,SYNTH-STD-013,2026-08-03,CONSULTOR,10000.00,0.00,25.00,0.00,SUBMITTED,0.00,NONE,0.00,0.00,0.00,0.00,0.00,OPEN,Recebimento pendente nao libera caixa nem comissao
STD-014,STANDARD,SYNTH-STD-014,2026-08-03,CONSULTOR,10000.00,3000.00,30.00,0.00,CONFIRMED,0.00,NONE,300.00,0.00,0.00,0.00,300.00,PAID,Duas parcelas confirmadas somando a comissao integral
STD-015,STANDARD,SYNTH-STD-015,2026-08-03,CONSULTOR,10000.00,3490.00,35.00,0.00,CONFIRMED,0.00,NONE,418.80,0.00,0.00,0.00,418.80,PAID,Diferenca inferior de dez reais dentro da tolerancia
STD-016,STANDARD,SYNTH-STD-016,2026-08-03,CONSULTOR,10000.00,3600.00,35.00,0.00,CONFIRMED,0.00,NONE,420.00,0.00,0.00,0.00,420.00,PAID,Sobrepagamento limitado ao teto comissionavel
SCL-001,SCALED,SYNTH-SCL-001,2026-08-04,CONSULTOR_MEI_ESCALONADO,10000.00,3500.00,35.00,0.00,CONFIRMED,0.00,NONE,280.00,0.00,0.00,0.00,280.00,PAID,Faixa mensal um e TPS 35
